bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
8818,One Hand Clapping,Anthony Burgess,3.82,786706317,9.78079E+12,eng,224,1008,51,7/15/1999,Da Capo Press
13765,Red River  Vol. 15 (Red River  #15),Chie Shinohara,4.45,1421505576,9.78142E+12,eng,191,1007,13,11/1/2006,Viz Media
39623,The Cursed One (Wild Wulfs of London  #3),Ronda Thompson,4.02,312935757,9.78031E+12,eng,305,1006,46,11/28/2006,St. Martin's Paperbacks
14046,The Time Traveler's Wife,Audrey Niffenegger,3.97,1596921536,9.7816E+12,eng,518,1005,253,10/1/2005,MacAdam/Cage
5207,Daughter of Fortune,Isabel Allende/Margaret Sayers Peden,3.91,006019491X,9.78006E+12,eng,399,1005,95,10/6/1999,Harper
5402,"Stand Back  Said the Elephant  ""I'm Going to Sneeze!""",Patricia Thomas/Wallace Tripp,4.39,688093388,9.78069E+12,eng,32,1004,130,4/23/1990,William Morrow & Company  Inc.
7662,Three Complete Novels: The Andromeda Strain / The Terminal Man / The Great Train Robbery,Michael Crichton,4.06,517084791,9.78052E+12,eng,688,1004,31,3/1/1993,Wings
36063,Suicide Hill (Lloyd Hopkins  #3),James Ellroy,3.53,1400095301,9.7814E+12,eng,288,1004,39,8/8/2006,Vintage
10974,As I Lay Dying,William Faulkner/E.L. Doctorow,3.71,375504524,9.78038E+12,eng,231,1003,101,1/25/2001,Modern Library
28564,Bloody River Blues (John Pellam  #2),William Jefferies/Jeffery Deaver,3.49,671047507,9.78067E+12,eng,368,1003,46,12/1/2000,Pocket Books
22616,The System of Objects,Jean Baudrillard/James Benedict,4.01,1844670538,9.78184E+12,eng,224,1002,27,1/17/2006,Verso
14350,A Midsummer Night's Dream,William Shakespeare/Stephen Orgel/A.R. Braunmuller/Russ McDonald,3.94,140714553,9.78014E+12,eng,144,1002,57,8/1/2000,Penguin Classics
41909,Harry Potter ve Sırlar Odası (Harry Potter  #2),J.K. Rowling/Sevin Okyay,4.42,3570211029,9.78357E+12,tur,403,1000,41,10/1/2001,Yapı Kredi Yayınları
29421,Layer Cake,J.J. Connolly,3.98,802141684,9.7808E+12,eng,344,1000,68,8/31/2004,Grove Press  Black Cat
