publisher
Little  Brown and Company
Houghton Mifflin
Back Bay Books
Pocket Books
Scholastic Inc.
Arthur A. Levine Books / Scholastic Inc.
Scholastic Inc.
Houghton Mifflin Harcourt
NAL
Scholastic Inc.
Penguin Books
Simon Schuster
Disney Hyperion Books
Penguin Books
Anchor
HarperCollins
Ember
Alfred A. Knopf
Signet Classics
Penguin
Riverhead Books
Random House Large Print Publishing
HarperCollinsPublishers
Algonquin Books
HarperPerennial / Perennial Classics
Bantam
Vintage
Penguin Classics
Penguin Books
Dial Press
Warner Books
Washington Square Press
New English Library (Hodder & Stoughton)
Scholastic
Scribner
Anchor Books
Norton
Children's Classics
Penguin Classics
Random House: Modern Library
Anchor Books
Ballantine Books
Dell Publishing Company
Penguin Classics
Penguin Classics
Bantam
Back Bay Books
Hyperion Books
William Morrow
St. Martin's Press
Signet Book
Harper Perennial Modern Classics
Penguin Books
Cambridge University Press
Alfred A. Knopf
Dell Publishing Company
Houghton Mifflin
Simon  Schuster
Penguin Books
Puffin Books
Grand Central Publishing
Penguin Books
Puffin Books
Addison Wesley Publishing Company
Picador USA
Penguin Books
Hyperion
Simon Pulse
Warner Books (NY)
Penguin
St. Martin's Press
St. Martin's Press
Plaza y Janes
Pocket
Oxford University Press
Back Bay Books
Ballantine Books
Free Press
New English Library
Random House Audio Publishing Group
William Morrow; 1ST edition
William Morrow Paperbacks
St. Martin's Press
W.W. Norton & Company (NYC)
Headline Review
Penguin Group (USA)
Vintage Books
Crown
Grand Central Publishing
Orion
Delta
Gramercy Books
Scholastic Books
Anchor Books
Bantam
Harpercollins Childrens Books
HarperCollins Publishers
William Morrow Paperbacks
Delta
Harvest Books
Mariner Books
Dell Publishing Company
Alfred A. Knopf
Vintage International
Scholastic Paperbacks
Plume
Green Integer
Kingfisher
Vermilion
Anchor Books
Little  Brown and Company
Random House
Grand Central Publishing
Pocket
Penguin Books
Penguin Classics
Harper Perennial
Black Swan
Simon & Schuster Paperbacks
Beacon Press
Vintage
Vintage Books USA
HarperCollins
Scholastic
Simon  Schuster
Signet Book
Atria Books
Atheneum Books for Young Readers: Richard Jackson Books
Washington Square Press
Grand Central Publishing
Random House Books for Young Readers
Penguin Group (USA)
Arthur A. Levine Books
Pocket Books
Ace
Delta
Del Rey Books
Harper Perennial
Vintage Books
Broadway Books
Avon
Touchstone Books
Atria Books
Bantam Books
Harper
Penguin Books
Spectra
Laurel Leaf
Dutton
Shambhala
Dramatists Play Service
Dial Press Trade Paperback
Vertigo
Vintage
Bantam
Grand Central Publishing
Vintage International
Bantam
Amistad
Harper Perennial
Turtleback
Henry Holt and Co.
Mariner Books
Oxford University Press
Simon & Schuster Simon Pulse
Modern Library
Scholastic Paperbacks
Anchor Books
Grove Press
Penguin Signet
Anchor Books
Tor Books
Pantheon Books
Avon Books
HarperTrophy
Warner Books
Howard Publishing Co
Delta
Plaza y Janés
